StationCode,SampleDate,CollectionTime,CollectionDepth,UnitCollectionDepth,Analyte,Unit,Result,latitude,longitude,PositionWaterColumn,Huc12_name,Huc12_number
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Nitrite as N, Total",mg/L,-0.02,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Malathion, Total",ug/L,-0.0076,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Merphos, Total",ug/L,-0.0058,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Phosphorus as P, Dissolved",mg/L,0.011,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Antimony, Total",ug/L,0.17,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Total Organic Carbon, Total",% dw,0.1,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Chromium, Dissolved",ug/L,0.16,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Dimethoate, Total",ug/L,-0.0062,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Permethrin, trans-, Total",ng/g dw,-5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Prallethrin, Total",ng/g dw,-0.5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Granule, 2.0 to <4.0 mm",%,3.30641,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Selenium, Dissolved",ug/L,0.67,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Selenium, Total",ug/L,0.9,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Zinc, Total",ug/L,1.5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Selenium, Total",ug/L,0.91,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Selenium, Total",ug/L,1.3,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Selenium, Dissolved",ug/L,0.89,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Selenium, Dissolved",ug/L,0.75,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Fenpropathrin, Total",ng/g dw,-0.5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Silt, Medium 0.0156 to <0.031 mm",%,1.5183,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Selenium, Dissolved",ug/L,0.71,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Esfenvalerate/Fenvalerate, Total, Total",ug/L,-0.002,33.398142,-117.26273,Not Applicable,NA,NA
